source_id	language	text	path	record_no
raw_5e93e73581	ko_kp	Rodong Newspaper Rodong Newspaper Rodong Newspaper Thursday, April 9, 2026, page 5 [There is a photo] Salt production remains from the Bronze Age and Neolithic Age have been newly discovered in the Woneup-ro-dong area of Oncheon-gun, Nampo-si. Salt production remains from the Bronze Age and the Neolithic Age have been discovered in the Won-eup-ro-dong area of Oncheon-gun, Nampo-si.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In keeping with the Party's will to enrich the treasure trove of cultural heritage by excavating more historical relics created by our people, the research group of the Archeology Research Institute of the Academy of Social Sciences has deepened the investigation and excavation of historical relics.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In this process, the Bronze Age and the Neolithic Age were discovered for the first time in our country in the Woneup-ro-dong area of Oncheon-gun, Nampo-si.(５ ０００~５ ５００years ago)A salt water storage facility and a salt roasting facility, which are relics of salt production, were discovered.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	The salt water storage facility is hemispherical in shape, which is advantageous for storing salt water, and has two cultural layers.(Stratum containing archaeological remains)It is separated by	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In the Ut culture layer, hardened gamtang layers used to store salt water and fragments of top bowls from the Bronze Age are found., In the lower cultural layer, a thick layer of mud mixed with wood ash that was spread to store salt water and fragments of carved vessels from the Neolithic Age appeared.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	The salt grilling facility also has two cultural layers.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In the upper cultural layer, there are fire pit facilities with a history of concentrating salt water and fragments of top bowls from the Bronze Age., In the lower cultural layer, undated fire pit facilities and fragments of engraved vessels from the Neolithic Age were unearthed.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In the process of comparing and analyzing the composition and salinity of the soil of the salt water storage facility and the surrounding soil by applying various analysis methods in connection with the relevant units, the research group concluded that the soil salinity of the salt water storage facility was much higher than the salinity of the surrounding soil and that this relic was a salt-producing relic.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In addition, by measuring the age of the earthenware vessels, the earthenware vessels excavated from the Ut culture layer date back to the Bronze Age, 5000 years ago., It has been scientifically explained that the earthenware vessels excavated from the lower cultural layer belong to the Neolithic Age, 5500 years ago.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	According to the Archaeological Society of the Democratic People's Republic of Korea, the artifacts and earthenware vessels excavated from the Wonup-rodongjagu area of Oncheon-gun, Nampo-si, After reviewing the analysis data on the soil, the upper cultural layer was discovered in the Bronze Age 5000 years ago., It was confirmed that the lower cultural layer is the remains of our ancestors producing salt by boiling down sea water during the Neolithic Age 5500 years ago.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	In addition, it was evaluated that this historical relic has national treasure value, showing the excellence of our wise and civilized people as clear evidence proving that the Taedonggangryu Station area, centered on Pyongyang, is one of the birthplaces of human culture.	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_5e93e73581	ko_kp	【Korean Central News Agency】 Salt roasting facility, salt water storage facility, Neolithic Age(５ ５００years ago)Engraved vessels and carvings Bronze Age(５ ０００years ago)top bowl and pieces	data\corpus\raw\url_0b7873ec5d6a.corpus	1
raw_056f0f74b9	ko_kp	Rodong Newspaper Rodong Newspaper Rodong Newspaper Friday, May 29, 2026 Page 2 A new era of comprehensive national revival was pioneered in this way A new history of socialist rural construction(１) A new history of socialist rural construction unfolded by the Workers' Party of Korea, This is a proud and surprising incident that the Workers' Party of Korea, whose greatest wish is to quickly end the post-century past of rural areas and allow all the people of the country to enjoy a prosperous and civilized life, came up with it during the 8th term of the Party Central Committee.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	In the struggle to realize the new era rural revolutionary program proposed by the party over the past five years, agricultural workers have grown day by day into communists with Juche ideology, and the country's grain production structure and farming methods have also changed significantly.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	The material and technological foundation for continuously increasing agricultural production has been strengthened, rapid growth has been achieved in grain production, and rural areas across the country have become Seongyeong Village., Years have changed in a strange world, and new life has occurred everywhere in Beolbang and Dume Mountain Valley., The joy of a new civilization is overflowing	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	The miraculous achievements made during the 8th term of the Party Central Committee, which unconditionally and stubbornly carried out the historic tasks of rural revolution that no other country could dare to tackle along the path set forth in the Socialist Rural Revolution Program, are the shining fruits of the excellent leadership of the respected Comrade General Secretary and the logo of devotion to the people.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	The great new history of socialist rural construction will unfold even more majestically under the holy leadership of the Workers' Party of Korea, which is perfectly implementing the grand plan to transform all of our rural areas into a socialist paradise that we can be proud of.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	Our party’s firm will-The 8th term of the Party Central Committee, which boldly broke through the hardships encountered under the energetic leadership of our dear Comrade General Secretary and opened a new era of comprehensive national revival, is sprinkling light on the socialist land with turbulent days and months that dazzlingly engraved great events and noble achievements that astonished the people of the world.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	The reason why our people are able to steadily unfold a new history of century-old change that was unimaginable in the past in rural areas, which were synonymous with backwardness even in such an unruly situation, is because of our Party's new era rural revolutionary program, which reveals the quickest shortcut to a future where rural areas prosper.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	Dear Comrade Kim Jong-un said the following:	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	《The New Era Rural Revolutionary Platform clearly sets out the path to finally resolve rural issues and achieve complete socialist victory as soon as possible.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	》 The grandiose feat of the rural revolution, which erases the backwardness and backwardness of rural areas that have remained a burden on national development for a long time and writes a new history at the dawn of time, is not something that anyone can accomplish.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	It cherishes the realization of the dreams and ideals of the people of the whole country as its long-cherished wish and pursues endless exploration and extraordinary speculation., It is a historic cause that can only be accomplished by an outstanding politician who brightens the future through dedicated practice and powerfully organizes and mobilizes the people.	data\corpus\raw\url_0c991141388b.corpus	1
raw_056f0f74b9	ko_kp	Dear Comrade General Secretary, who put forward the rural revolution as an earthly task that our generation must take on and carry out for future generations, and put endless effort into opening up a new phase in which rural areas can develop dramatically. , In the year that marked the 50th anniversary of the presentation of the Socialist Rural Thesis, he already said that a new turn must be achieved in rural construction in the new century and that rural problems must be finally resolved, and he taught us one by one the direction and methods for implementing it. At some point, while looking at crops of newly bred high-yield varieties, he emphasized that he should be well aware of the global agricultural development trend and put national effort into projects to innovate the country's overall agriculture. How sublimely the world of fiery thought and passion devoted to opening a new era of our style rural development is reflected in every step of the holy revolutionary leadership..	data\corpus\raw\url_0c991141388b.corpus	1
